시장명,시장유형,소재지도로명주소,소재지지번주소,시장개설주기,위도,경도,점포수,대표품목,홈페이지주소,사용가능상품권,공중화장실보유여부,주차장보유여부,개설연도,전화번호,데이터기준일자,제공기관코드,제공기관명
이동공설시장,5일장,경상남도 남해군 이동면 무림로 63번길 9,경상남도 남해군 이동면 무림리 1140,5일+10일,34.80113755,127.9538197,27.0,"황소곱창, 한량통닭 천리점, 펀비어킹(천리점), 천리페리카나",,,Y,Y,1970.0,,2025-11-10,B553077,소상공인시장진흥공단
사천읍시장,상설장,경상남도 사천시 사천읍 시장1길 16,경상남도 사천시 사천읍 정의리 393-8,매일,35.08405876,128.08901,165.0,"해양상회, 해바라기, 한보배달횟집, 평화수산",,,Y,Y,1970.0,055-852-2008,2025-11-10,B553077,소상공인시장진흥공단
산청시장,5일장,경상남도 산청군 산청읍 중앙로 16-1,경상남도 산청군 산청읍 산청리 250-2,1일+6일,35.41530225,127.8763044,74.0,"진주식당, 진주식당, 중앙분식, 우리과일",,,Y,Y,1970.0,,2025-11-10,B553077,소상공인시장진흥공단
중앙시장,상설장,강원특별자치도 강릉시 금성로21,강원특별자치도 강릉시 성남동 50,매일,37.75401611,128.8986236,278.0,"흥부네칼국수, 화정식당, 홍천찹쌀꽈배기맛집, 홍천식육점",,,Y,Y,1970.0,033-648-4477,2025-11-10,B553077,소상공인시장진흥공단
강릉성남시장,상설장,강원특별자치도 강릉시 중앙시장1길 16,강원특별자치도 강릉시 성남동 54-10,매일,37.75344795,128.8992217,143.0,"훼미리식당, 호남상회, 허니홈비강릉중앙시장점, 행복한먹거리",,,Y,Y,1970.0,033-647-0006,2025-11-10,B553077,소상공인시장진흥공단
강릉동부시장,상설장,강원특별자치도 강릉시 옥천로 48,강원특별자치도 강릉시 옥천동 223,매일,37.7600498,128.9006624,145.0,"프랑킨바베큐치킨강릉옥천점, 풍년집, 우성추어탕, 옥천통닭",,,Y,Y,1970.0,033-647-7999,2025-11-10,B553077,소상공인시장진흥공단
강릉서부시장,상설장,강원특별자치도 강릉시 임영로 155번길 6,강원특별자치도 강릉시 용강동 29,매일,37.75505954,128.8907988,147.0,"향이네 꼬마김밥, 큰집추어탕, 청정강원산마농원, 진부식당",,,Y,Y,1970.0,033-648-9136,2025-11-10,B553077,소상공인시장진흥공단
주문진건어물시장,상설장,강원특별자치도 강릉시 주문진읍 해안로1748,강원특별자치도 강릉시 주문진읍 주문리 312-708,매일,37.89114842,128.8287555,110.0,"황금횟집, 황금수산, 혜진식당1호점, 현수네건어물",,,Y,Y,1970.0,033-661-9599,2025-11-10,B553077,소상공인시장진흥공단
주문진수산시장,상설장,강원특별자치도 강릉시 주문진읍 시장2길 4,강원특별자치도 강릉시 주문진읍 주문리 312-424,매일,37.89097097,128.8280009,52.0,"해송횟집, 해상젓갈, 하나수산, 전라도정임이횟집",,,Y,Y,1970.0,033-661-7302,2025-11-10,B553077,소상공인시장진흥공단
주문진종합시장,상설장,강원특별자치도 강릉시 주문진읍 구시장길 11-3,강원특별자치도 강릉시 주문진읍 주문리 321-14,매일,37.8914385,128.8269078,85.0,"황제찹쌀꽈배기, 형제방앗간, 현대식품, 현대농수산",,,Y,Y,1970.0,033-662-2180,2025-11-10,B553077,소상공인시장진흥공단
주문진좌판풍물시장,상설장,강원특별자치도 강릉시 주문진읍 해안로 1758-10,강원특별자치도 강릉시 주문진읍 주문리 312-713,매일,37.89171625,128.8293151,140.0,"혜진네, 현아네, 혁범이네, 해란이네",,,Y,Y,1970.0,033-662-9290,2025-11-10,B553077,소상공인시장진흥공단
간성전통시장,5일장,강원특별자치도 고성군 간성읍 간성시장3길 7-2,강원특별자치도 고성군 간성읍 신안리 311-10,2일+7일,38.37994273,128.4694508,66.0,"진미분식, 중국집, 죽왕기름집, 윤식당",,,Y,Y,1970.0,033-682-5462,2025-11-10,B553077,소상공인시장진흥공단
거진전통시장,5일장,강원특별자치도 고성군 거진읍 거진시장길 13-3,강원특별자치도 고성군 거진읍 거진리 272,1일+6일,38.44748216,128.4543896,62.0,"홍가네, 해파랑, 푸른식당, 촌놈분식",,,Y,Y,1970.0,033-681-8606,2025-11-10,B553077,소상공인시장진흥공단
동해남부재래시장,상설장,강원특별자치도 동해시 청운1길 29,강원특별자치도 동해시 동회동 442,매일,37.48760966,129.1035498,213.0,"현대튀김전문점, 한우마을1번지, 한마음청과, 퓨전어묵",,,Y,Y,1970.0,033-522-2100,2025-11-10,B553077,소상공인시장진흥공단
묵호시장,상설장,강원특별자치도 동해시 일출로 59-1,강원특별자치도 동해시 묵호진동 15-61,매일,37.55235235,129.1141946,125.0,"호남건어물, 호남건어물, 해우식당, 해오름식당",,,Y,Y,1970.0,,2025-11-10,B553077,소상공인시장진흥공단
중동사랑시장(부천중동시장),상설장,경기도 부천시 원미구 부흥로200번길 25,경기도 부천시 원미구 중동 724,매일,37.49497098,126.764586,84.0,"훈훈한 과일 중동, 황토축산, 호동이만두, 해든",,,Y,Y,1970.0,070-7377-1717,2025-11-10,B553077,소상공인시장진흥공단
삼척중앙시장,5일장,강원특별자치도 삼척시 진주로 12-21,강원특별자치도 삼척시 남양동 55-4,2일+7일,37.44210346,129.1646216,282.0,"황실폐백, 해성건어물, 한별상회, 풍물호떡",,,Y,Y,1970.0,033-572-0909,2025-11-10,B553077,소상공인시장진흥공단
도계전두시장,상설장,강원특별자치도 삼척시 도계읍 전두시장길 6-1,강원특별자치도 삼척시 도계읍 전두리 81-20,매일,37.22913383,129.0428073,61.0,"현대상사, 현대상사, 예손식당, 영주도매유통",,,Y,Y,1970.0,033-541-2749,2025-11-10,B553077,소상공인시장진흥공단
삼척번개시장,상설장,강원특별자치도 삼척시 중앙로 14-27,강원특별자치도 삼척시 사직동 50-11,매일,37.43090173,129.178574,20.0,"하늘빛바다, 증산집, 번개상회, 만들리 닷컴",,,Y,Y,1970.0,,2025-11-10,B553077,소상공인시장진흥공단
속초종합중앙시장,상설장,강원특별자치도 속초시 중앙로147번길 16,강원특별자치도 속초시 중앙동 471-4,매일,38.20452003,128.5901927,257.0,"황태만상, 황부자전통젓갈, 황부자전통맛집, 호남횟집",,,Y,Y,1970.0,033-633-3504,2025-11-10,B553077,소상공인시장진흥공단
속초관광수산시장,상설장,강원특별자치도 속초시 중앙시장로 6길 4,강원특별자치도 속초시 중앙동 493-51,매일,38.20540516,128.5893558,350.0,"흥안닭집, 흥부젓갈, 황소식당, 황금찹쌀꽈배기속초점",,,Y,Y,1970.0,033-635-8433,2025-11-10,B553077,소상공인시장진흥공단
양구중앙시장,5일장,강원특별자치도 양구군 중앙길 68,강원특별자치도 양구군 상리 235,5일+10일,38.10410757,127.9893261,58.0,"홍천식당, 현대떡방앗간, 촌두부집, 유한회사그린식자재",,,Y,Y,1970.0,033-481-3594,2025-11-10,B553077,소상공인시장진흥공단
양양전통시장,5일장,강원특별자치도 양양군 양양읍 남문5길 9,강원특별자치도 양양군 양양읍 남문리 57,4일+9일,38.07506326,128.6232929,68.0,"후니네, 홍천정육점, 호수정육점, 현산청과슈퍼",,,Y,Y,1970.0,033-671-2878,2025-11-10,B553077,소상공인시장진흥공단
서부아침시장,상설장,강원특별자치도 영월군 영월읍 중앙로 30-1,강원특별자치도 영월군 영월읍 영흥리 947-57,매일,37.18331647,128.466754,44.0,"일미닭강정, 왕릉숯불떡갈비, 옥동분식, 예진네분식",,,Y,Y,1970.0,033-372-3303,2025-11-10,B553077,소상공인시장진흥공단
구룡포시장,5일장,경상북도 포항시 남구 구룡포읍 구룡포길 72-1,경상북도 포항시 남구 구룡포읍 구룡포리 963-2,3일+8일,35.99031583,129.5540012,114.0,"희연수산, 효원수산, 횟집진, 횟집진",,,Y,Y,1970.0,,2025-11-10,B553077,소상공인시장진흥공단
오천삼광시장,상설장,경상북도 포항시 남구 오천읍 정몽주로679번길 3,경상북도 포항시 남구 오천읍 구정리 35-27,매일,35.97830244,129.4123387,53.0,"명동국밥, 떡하루, 일광식육점, 영양상회",,,Y,Y,1970.0,,2025-11-10,B553077,소상공인시장진흥공단
오천시장,5일장,경상북도 포항시 남구 오천읍 해병로 307번길 26-3,경상북도 포항시 남구 오천읍 세계리 847-5,5일+10일,35.96647172,129.4142295,105.0,"홍반장 농산, 하나유통, 청솔수산, 진가네식당",,,Y,Y,1970.0,054-292-5245,2025-11-10,B553077,소상공인시장진흥공단
포항운하송림시장,상설장,경상북도 포항시 남구 운하로36번길 7,경상북도 포항시 남구 송도동 493-11,매일,36.02820448,129.3763138,35.0,"송림제분소, 미래수산, 맛반해, 대성청과",,,Y,Y,1970.0,,2025-11-10,B553077,소상공인시장진흥공단
연일전통시장,5일장,경상북도 포항시 남구 연일읍 연일로 159번길 46,경상북도 포항시 남구 연일읍 생지리 194-1,3일+8일,35.99635173,129.3486811,147.0,"형주네보리밥, 할매추어탕, 한우명가, 포항밀면",,,Y,Y,1970.0,,2025-11-10,B553077,소상공인시장진흥공단
효자시장,상설장,경상북도 포항시 남구 효자동길10번길 13,경상북도 포항시 남구 효자동 301-1,매일,36.00799585,129.3315835,235.0,"효자아지매순대국밥, 효자동파전, 효자동토스트, 효자동 갈비탕",,,Y,Y,1970.0,054-277-9251,2025-11-10,B553077,소상공인시장진흥공단
영남시장,상설장,경상북도 포항시 남구 동해면 일월로152,경상북도 포항시 남구 동해면 약전리 436-3,매일,35.9879517,129.4496824,41.0,"콩사랑즉석두부, 시장식육점",,,Y,Y,1970.0,,2025-11-10,B553077,소상공인시장진흥공단
포항큰동해시장,상설장,경상북도 포항시 남구 중앙로146번길 30,경상북도 포항시 남구 해도동 435-23,매일,36.02655548,129.3709848,116.0,"형제떡집, 행복떡집, 해도떡방아, 포항청과38번",,,Y,Y,1970.0,054-277-2229,2025-11-10,B553077,소상공인시장진흥공단
상대종합시장,상설장,경상북도 포항시 남구 양학천로 76번길13,경상북도 포항시 남구 상도동 1-12,매일,36.01993112,129.3611077,35.0,"한백축산유통, 내당농산, 경주청과, 식품나라",,,Y,Y,1970.0,,2025-11-10,B553077,소상공인시장진흥공단
해도5(형산)시장,상설장,경상북도 포항시 남구 문예로 70번길23,경상북도 포항시 남구 대도동 143-1,매일,36.01270248,129.3664934,35.0,"포항충주건축자재, 새항구",,,Y,Y,1970.0,,2025-11-10,B553077,소상공인시장진흥공단
흥해시장,5일장,경상북도 포항시 북구 흥해읍 한동로 61-13,경상북도 포항시 북구 흥해읍 성내리 61-2,2일+7일,36.11061401,129.3482939,130.0,"희야네식당, 희야네 생선, 흥해칠포횟집, 흥해젓갈",,,Y,Y,1970.0,054-261-2611,2025-11-10,B553077,소상공인시장진흥공단
죽도어시장,상설장,경상북도 포항시 북구 죽도시장길32,경상북도 포항시 북구 죽도동 574-4,매일,36.03513455,129.3690789,100.0,"호야상회, 형제수산, 현주수산, 현이수산",,,Y,Y,1970.0,,2025-11-10,B553077,소상공인시장진흥공단
한라종합시장,상설장,경상북도 포항시 북구 대안길 57,경상북도 포항시 북구 용흥동 357-1,매일,36.04122465,129.3512673,24.0,"형보농산, 청사초롱농수산, 청사초롱과메기식당, 우방청과",,,Y,Y,1970.0,,2025-11-10,B553077,소상공인시장진흥공단
환호그린빌시장,상설장,경상북도 포항시 북구 환호공원길 15,경상북도 포항시 북구 환호동 377-5,매일,36.06813183,129.3911427,24.0,"정명식당, 한끼갤러리",,,Y,Y,1970.0,,2025-11-10,B553077,소상공인시장진흥공단
그린종합시장,상설장,경상북도 포항시 북구 용두산길 39,경상북도 포항시 북구 장성동 1352-1,매일,36.06728944,129.3809631,28.0,"행운식당, 알뜰리퍼마트, 먕랑쌀핫도그 장성점, 농부가 정육점",,,Y,Y,1970.0,,2025-11-10,B553077,소상공인시장진흥공단
두호1시장,상설장,경상북도 포항시 북구 창흥로 11,경상북도 포항시 북구 창포동 630,매일,36.06172603,129.3693658,31.0,"할매김밥, 중앙상회, 동남청과, 노점(두호채소)",,,Y,Y,1970.0,,2025-11-10,B553077,소상공인시장진흥공단
양학시장,상설장,경상북도 포항시 북구 양학로 40,경상북도 포항시 북구 학잠동 83,매일,36.02727113,129.3497432,52.0,"형제떡집, 충청본가, 왜관청과, 영덕횟집",,,Y,Y,1970.0,,2025-11-10,B553077,소상공인시장진흥공단
장량성도시장,상설장,경상북도 포항시 북구 용두산길 54,경상북도 포항시 북구 두호동 1079,매일,36.06827244,129.3813701,58.0,"효성채소, 황소분식, 행복떡집, 초벌대장(노점)",,,Y,Y,1970.0,,2025-11-10,B553077,소상공인시장진흥공단
예천중앙시장,5일장,경상북도 예천군 예천읍 시장로127,경상북도 예천군 예천읍 동본리 497-1,2일+7일,36.6574335,128.4578325,63.0,"황금청과, 하나로 수산, 예천장청과식품, 동창식육점",,,Y,Y,1970.0,,2025-11-10,B553077,소상공인시장진흥공단
용궁시장,5일장,경상북도 예천군 용궁면 용궁시장길 9,경상북도 예천군 용궁면 읍부리 329-1,4일+9일,36.60702184,128.2753688,9.0,"흥부네토종한방순대, 읍부리정미소, 용궁단골식당, 선미식당",,,Y,Y,1970.0,,2025-11-10,B553077,소상공인시장진흥공단
척산시장,5일장,경상북도 울진군 기성면 척산길 51-25,경상북도 울진군 기성면 척산리 211-14,1일+6일,36.79693438,129.4512978,17.0,"통통치킨(기성점), 신짬뽕, 섬목참한우, 부일식당",,,Y,Y,1970.0,,2025-11-10,B553077,소상공인시장진흥공단
흥부시장,5일장,경상북도 울진군 북면 장터길 110-6,경상북도 울진군 북면 부구리 135,1일+6일,37.10360525,129.3753791,20.0,"한마루식당, 안전호수산, 새마을떡방앗간, 흥부헤어스케치",,,Y,Y,1970.0,,2025-11-10,B553077,소상공인시장진흥공단
죽변시장,5일장,경상북도 울진군 죽변면 죽변중앙로 168-14,경상북도 울진군 죽변면 죽변리 36-8,3일+8일,37.05897952,129.4222545,35.0,"흥청망청, 황소고기마트, 해인수산, 해성식당",,,Y,Y,1970.0,,2025-11-10,B553077,소상공인시장진흥공단
평해시장,5일장,경상북도 울진군 평해읍 평해6길12,경상북도 울진군 평해읍 평해리 879-3,2일+7일,36.72694696,129.4424335,24.0,"평해축산한우전문점, 평해분식, 평해건어물(동동이네), 처갓집양념치킨(평해점)",,,Y,Y,1970.0,,2025-11-10,B553077,소상공인시장진흥공단
함평천지전통시장,5일장,전라남도 함평군 함평읍 시장길 49,전라남도 함평군 함평읍 기각리 982,2일+7일,35.06373037,126.5234259,41.0,"화랑식당, 현대떡방앗간, 해운수산, 해동방앗간",,,Y,Y,1970.0,061-322-1126,2025-11-10,B553077,소상공인시장진흥공단
동곡공설시장,5일장,경상북도 청도군 금천면 금천로 41-2,경상북도 청도군 금천면 동곡리 776,1일+6일,35.69205739,128.8910781,41.0,"오케리아치킨, 오늘잡은소돼지, 노점(시장어물), 시장철물",,,Y,Y,1970.0,,2025-11-10,B553077,소상공인시장진흥공단
군산공설시장,상설장,전북특별차치도 군산시 신금길 18,전북특별차치도 군산시 신영동 18-1,매일,35.98316656,126.7203241,276.0,"흥남정육점, 환영청과, 호남젓집, 호남젓상회",,,Y,Y,1970.0,063-445-4929,2025-11-10,B553077,소상공인시장진흥공단
전주중앙상가시장,상설장,전북특별차치도 전주시 완산구 태평3길 70,전북특별차치도 전주시 완산구 태평동 36-1,매일,35.82522103,127.1424489,375.0,"희망상회, 행복농수산, 하얀장미, 탐라",,,Y,Y,1970.0,063-253-6535,2025-11-10,B553077,소상공인시장진흥공단
북문시장,5일장,경상북도 안동시 북문옥정길 25,경상북도 안동시 율세동 409,2일+7일,36.56851589,128.7326157,71.0,"진보상회, 정산식당, 정류장 국수, 정락상회",,,Y,Y,1970.0,,2025-11-10,B553077,소상공인시장진흥공단
안동서부시장,5일장,경상북도 안동시 대안로 22,경상북도 안동시 태화동 60-12,2일+7일,36.56527506,128.7149733,113.0,"황금성, 혜화동 돈까스극장 안동태화점, 혜성반점, 행복한 식당",,,Y,Y,1970.0,054-842-4554,2025-11-10,B553077,소상공인시장진흥공단
계산시장,상설장,인천광역시 계양구 계산 시장길 10-18,인천광역시 계양구 계산동 960-27,매일,37.53927741,126.7248447,112.0,"희망왕찐빵, 호남야채, 호남식당반찬, 형제축산",,,Y,Y,1970.0,032-541-8778,2025-11-10,B553077,소상공인시장진흥공단
강구시장,5일장,경상북도 영덕군 강구면 강구시장1길 8-2,경상북도 영덕군 강구면 오포리 535-5,3일+8일,36.35834827,129.3795018,57.0,"현이수산, 탐라식당, 중매66번, 조양호수산",,,Y,Y,1970.0,,2025-11-10,B553077,소상공인시장진흥공단
영양시장,5일장,경상북도 영양군 영양로 영양읍 시장5길 4,경상북도 영양군 영양로 영양읍 서부리 288-3,4일+9일,37.5,127.0,85.0,"태광정미소, 청명과일, 제일청과, 입암상회",,,Y,Y,1970.0,054-683-1058,2025-11-10,B553077,소상공인시장진흥공단
계양산전통시장,상설장,인천광역시 계양구 병방시장로 69,인천광역시 계양구 병방동 383,매일,37.54803218,126.7394444,96.0,"황기순손칼국수병방시장점, 화평동왕냉면, 현화청과, 행복한푸줏간",,,Y,Y,1970.0,032-545-7780,2025-11-10,B553077,소상공인시장진흥공단
영주골목시장,상설장,경상북도 영주시 구성로360번길 19,경상북도 영주시 영주동 315-6,매일,36.82449267,128.6229875,60.0,"하욱농원, 풍년떡집, 튀김천국, 중앙영풍상회",,,Y,Y,1970.0,054-637-0078,2025-11-10,B553077,소상공인시장진흥공단
작전시장,상설장,인천광역시 계양구 봉오대로677번길 20,인천광역시 계양구 작전동 862,매일,37.53248265,126.7243153,126.0,"햇살식당, 해바라기정육식당, 하늘 야채, 하나스넥",,,Y,Y,1970.0,032-544-5773,2025-11-10,B553077,소상공인시장진흥공단
소래포구전통어시장,상설장,인천광역시 남동구 장도로 86-17,인천광역시 남동구 논현동 111-168,매일,37.3974554,126.738637,338.0,"희연수산, 흥부네, 회뜬수산, 황해호(점포번호 51)",,,Y,Y,1970.0,032-446-7536,2025-11-10,B553077,소상공인시장진흥공단
영주문화시장,상설장,경상북도 영주시 중앙로 83번길 32,경상북도 영주시 영주동 376-1,매일,36.8239126,128.6235074,183.0,"정직유부영주점, 장우동, 싱싱무역, 시장영양보리밥",,,Y,Y,1970.0,054-633-0918,2025-11-10,B553077,소상공인시장진흥공단
풍기중앙시장,상설장,경상북도 영주시 풍기읍 동성로 73,경상북도 영주시 풍기읍 성내리 1-4,매일,36.8706025,128.5281959,60.0,"풍덕집, 풍기바다수산, 풍기교촌치킨, 차선상회",,,Y,Y,1970.0,,2025-11-10,B553077,소상공인시장진흥공단
풍기선비골인삼시장,상설장,경상북도 영주시 풍기읍 소백로 2156,경상북도 영주시 풍기읍 산법리 446-4,매일,36.88850301,128.5406893,67.0,"금강농산, 황금인삼사, 형제인삼, 행운인삼사",,,Y,Y,1970.0,054-636-3450,2025-11-10,B553077,소상공인시장진흥공단
풍기토종인삼시장,상설장,경상북도 영주시 풍기읍 인삼로 40,경상북도 영주시 풍기읍 성내리 148,매일,36.87026011,128.5224189,44.0,"흥덕인삼사, 환웅인삼사, 홍삼친구, 해오름인삼",,,Y,Y,1970.0,054-633-2379,2025-11-10,B553077,소상공인시장진흥공단
정서진중앙시장,상설장,인천광역시 서구 원창로239번길 11,인천광역시 서구 가정동 509-17,매일,37.51857454,126.675941,116.0,"훈훈한과일 중앙점, 훈훈한 과일, 황칠떡갈비, 홍재축산",,,Y,Y,1970.0,032-575-5002,2025-11-10,B553077,소상공인시장진흥공단
인천축산물시장,상설장,인천광역시 서구 가좌로 96번길 35,인천광역시 서구 가좌동 480-19,매일,37.47899257,126.6884579,105.0,"협진축산, 팔팔정육점, 통큰축산, 태양수산",,,Y,Y,1970.0,032-575-5511,2025-11-10,B553077,소상공인시장진흥공단
금호공설시장,5일장,경상북도 영천시 금호읍 금호로 101,경상북도 영천시 금호읍 교대리 167-35,3일+8일,35.93166906,128.8733589,45.0,"홍이, 푸른청과, 시장방앗간, 설목식당",,,Y,Y,1970.0,,2025-11-10,B553077,소상공인시장진흥공단
신녕공설시장,5일장,경상북도 영천시 신녕면 본관시장길3,경상북도 영천시 신녕면 화성리 866-1,3일+8일,36.04209299,128.7874777,52.0,"태양떡방앗간, 신원통닭, 새시장식육점, 삼포추어탕",,,Y,Y,1970.0,,2025-11-10,B553077,소상공인시장진흥공단
영천공설시장,5일장,경상북도 영천시 시장4길 52,경상북도 영천시 완산동 982-3,2일+7일,35.96425248,128.9385821,185.0,"희제어물전, 호돌이과일상회, 할매묵죽집, 한일통닭유통",,,Y,Y,1970.0,054-331-1772,2025-11-10,B553077,소상공인시장진흥공단
예천맛고을시장,상설장,경상북도 예천군 예천읍 맛고을길 57,경상북도 예천군 예천읍 노하리 74-16,매일,36.65689278,128.4548923,103.0,"행복식당, 풍년각, 치킨플러스, 최씨네 찜닭",,,Y,Y,1970.0,,2025-11-10,B553077,소상공인시장진흥공단
예천상설시장,5일장,경상북도 예천군 예천읍 상설시장2길 3-1,경상북도 예천군 예천읍 동본리 553,2일+7일,36.65598537,128.4561501,72.0,"현대국밥, 태화상회, 창성청과식품, 종합청과상회",,,Y,Y,1970.0,054-654-3751,2025-11-10,B553077,소상공인시장진흥공단
군위전통시장,5일장,대구광역시 군위군 군위읍 중앙6길 4,대구광역시 군위군 군위읍 서부리 18-1,3일+8일,36.23975138,128.5679239,49.0,"홍두깨, 제천식당, 장터국밥, 장군이족발",,,Y,Y,1970.0,054-383-0400,2025-11-10,B553077,소상공인시장진흥공단
부곡시장,상설장,경상북도 김천시 부곡시장2길 16,경상북도 김천시 부곡동 409-1,매일,36.12583421,128.1042196,19.0,"함양금주수산, 제일떡집, 정대감충무김밥부곡점, 정가네국밥",,,Y,Y,1970.0,,2025-11-10,B553077,소상공인시장진흥공단
암사종합시장,상설장,서울특별시 강동구 상암로11길 25,서울특별시 강동구 암사동 501-17,매일,37.55085327,127.1288173,107.0,"후레쉬정육점, 후레쉬정육점, 홍코너(암사점), 형제청과",,,Y,Y,1970.0,02-442-1040,2025-11-10,B553077,소상공인시장진흥공단
가은아자개시장,5일장,경상북도 문경시 가은읍 가은5길 7,경상북도 문경시 가은읍 왕능리 275-26,4일+9일,36.64660911,128.0609864,91.0,"토박이식당, 중앙정육한우마을, 자유베이커리, 약돌장터국밥",,,Y,Y,1970.0,054-552-1123,2025-11-10,B553077,소상공인시장진흥공단
문경전통시장,5일장,경상북도 문경시 문경읍 문희로 41-15,경상북도 문경시 문경읍 하리 88-2,2일+7일,36.73558209,128.1074832,66.0,"호식이두마리치킨문경점, 현기네 농산, 행복떡방앗간, 페리카나치킨문경점",,,Y,Y,1970.0,,2025-11-10,B553077,소상공인시장진흥공단
문경중앙시장,상설장,경상북도 문경시 신흥시장길 19,경상북도 문경시 흥덕동 794-1,매일,36.60138925,128.2041632,193.0,"황금찹쌀꽈배기, 호계상회, 형제상회, 하림닭고기",,,Y,Y,1970.0,054-552-1123,2025-11-10,B553077,소상공인시장진흥공단
봉화상설시장,5일장,,경상북도 봉화군 봉화읍 내성리 419-20,2일+7일,36.89035721,128.7349285,136.0,"황궁, 혜안농경(과일세상), 한일떡방앗간, 푸짐한식당",,,Y,Y,1970.0,054-673-5945,2025-11-10,B553077,소상공인시장진흥공단
봉화내성시장,5일장,경상북도 봉화군 봉화읍 내성로5길 13,경상북도 봉화군 봉화읍 내성리 192-1,2일+7일,36.88898151,128.7394689,81.0,"투까리식당, 토마토도시락 봉화점, 태산경, 초원쌈밥",,,Y,Y,1970.0,054-672-4800,2025-11-10,B553077,소상공인시장진흥공단
상주중앙시장,5일장,경상북도 상주시 남성로35,경상북도 상주시 남성동 85-10,2일+7일,36.41319426,128.1608286,125.0,"행복한잔, 풍물토종순대, 통통치킨, 태일식당",,,Y,Y,1970.0,054-535-7443,2025-11-10,B553077,소상공인시장진흥공단
은척시장,5일장,경상북도 상주시 은척면 봉중1길 16-1,경상북도 상주시 은척면 봉중리 383-12,4일+9일,36.53266616,128.0729497,35.0,"황령슈퍼, 제일가스,설비, 일호상회, 은척농약사",,,Y,Y,1970.0,,2025-11-10,B553077,소상공인시장진흥공단
함창시장,5일장,경상북도 상주시 함창읍 함창시장길4514,경상북도 상주시 함창읍 구향리 122,1일+6일,37.5,127.0,80.0,"한우식육식당, 우리축산미트, 새청마루, 구향식육식당",,,Y,Y,1970.0,,2025-11-10,B553077,소상공인시장진흥공단
성주시장,5일장,경상북도 성주군 성주읍 시장길 43-1,경상북도 성주군 성주읍 경산리 718,2일+7일,35.9150289,128.2854812,44.0,"황태자반점, 화영이식당, 한일떡방앗간, 정담아김밥",,,Y,Y,1970.0,054-930-6703,2025-11-10,B553077,소상공인시장진흥공단
